R001ex	1 C00089[e] <-
R00359[c]	1 C00402[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00036[c] + 1 C00014[c] + 1 C00027[c]
R00357[c]	1 C00049[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00036[c] + 1 C00014[c] + 1 C00027[c]
R00253[c]	1 C00002[c] + 1 C00025[c] + 1 C00014[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C00064[c]
R00256[c]	1 C00064[c] + 1 C00001[c] <-> 1 C00025[c] + 1 C00014[c]
R01514[c]	1 C00002[c] + 1 C00258[c] <-> 1 C00008[c] + 1 C00197[c]
R01513[c]	1 C00197[c] + 1 C00003[c] <-> 1 C03232[c] + 1 C00004[c] + 1 C00080[c]
R00582[c]	1 C01005[c] + 1 C00001[c] <-> 1 C00065[c] + 1 C00009[c]
R00891[c]	1 C00065[c] + 1 C00283[c] <-> 1 C00097[c] + 1 C00001[c]
R00589[c]	1 C00065[c] <-> 1 C00740[c]
R00221[c]	1 C00740[c] <-> 1 C00022[c] + 1 C00014[c]
