R001ex	1 C00089[e] <-
R08571[c]	1 C00577[c] + 1 C00001[c] + 1 C00139[c] <-> 1 C00258[c] + 1 C00080[c] + 1 C00138[c]
R08572[c]	1 C00258[c] + 1 C00002[c] <-> 1 C00631[c] + 1 C00008[c]
R00235[c]	1 C00002[c] + 1 C00033[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00024[c]
R00305[c]	1 C00031[c] + 1 C15602[c] <-> 1 C00198[c] + 1 C15603[c]
R08157[c]	1 C05752[c] + 1 C00001[c] <-> 1 C00229[c] + 1 C06423[c]
R04963[c]	1 C05755[c] + 1 C01209[c] <-> 1 C05756[c] + 1 C00011[c] + 1 C00229[c]
R04967[c]	1 C05761[c] + 1 C00006[c] <-> 1 C05760[c] + 1 C00005[c] + 1 C00080[c]
R07764[c]	1 C16220[c] <-> 1 C16221[c] + 1 C00001[c]
R04970[c]	1 C05764[c] + 1 C00006[c] <-> 1 C05763[c] + 1 C00005[c] + 1 C00080[c]
R08163[c]	1 C04088[c] + 1 C00001[c] <-> 1 C00229[c] + 1 C01530[c]
biomass	1 C00267[c] + 1 C00221[c] + 0.957344 C00031[c] + 1 C00095[c] + 0.01 C06423[c] + 0.01 C01571[c] + 0.01 C02679[c] + 0.01 C06424[c] + 0.01 C00249[c] + 0.01 C01530[c] + 0.1 C00041[c] + 0.1 C00062[c] + 0.1 C00152[c] + 0.1 C00049[c] + 0.1 C00097[c] + 0.1 C00064[c] + 0.1 C00025[c] + 0.1 C00037[c] + 0.1 C00407[c] + 0.1 C00123[c] + 0.1 C00047[c] + 0.1 C00073[c] + 0.1 C00079[c] + 0.1 C00148[c] + 0.1 C00065[c] + 0.1 C00188[c] + 0.1 C00078[c] + 0.1 C00082[c] + 0.1 C00183[c] + 2 C00002[c] + 2 C00001[c] -> 1 biomass_wt + 2 C00008[c] + 2 C00009[c]
biomass_si	1 biomass_wt -> 
ATPM	1 C00002[c] + 1 C00001[c] -> 1 C00008[c] + 1 C00009[c]
R00866[c]	1 C00002[c] + 1 C00095[c] <-> 1 C00008[c] + 1 C01094[c]
R01056[c]	1 C00117[c] <-> 1 C00199[c]
R01641[c]	1 C05382[c] + 1 C00118[c] <-> 1 C00117[c] + 1 C00231[c]
